"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CZE","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",177.776662344025,
"CZE","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",189.516102560103,
"CZE","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",200.660165945938,
"CZE","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",210.332891841975,
"CZE","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",218.905989988117,
"CZE","HOUSECOST","RENT","IDX2015","Q","2020-Q4",114.176810350031,
"CZE","HOUSECOST","RENT","IDX2015","Q","2021-Q1",114.777893425073,
"CZE","HOUSECOST","RENT","IDX2015","Q","2021-Q2",115.870091489975,
"CZE","HOUSECOST","RENT","IDX2015","Q","2021-Q3",117.054948805083,
"CZE","HOUSECOST","RENT","IDX2015","Q","2021-Q4",118.430389586535,
"CZE","HOUSECOST","RENT","IDX2015","Q","2022-Q1",119.772811300331,
"CZE","HOUSECOST","RENT","IDX2015","Q","2022-Q2",121.233502421327,
"CZE","HOUSECOST","RENT","IDX2015","Q","2022-Q3",122.973302282468,
"CZE","HOUSECOST","RENT","IDX2015","Q","2022-Q4",124.520542063841,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q4",130.991572808621,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q1",135.263098838956,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",137.85766537847,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",139.231550118134,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",139.687065788107,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",140.892859084729,
"DNK","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",141.810508263344,
"DNK","HOUSECOST","RENT","IDX2015","Q","2020-Q4",106.576102211806,
"DNK","HOUSECOST","RENT","IDX2015","Q","2021-Q1",106.969416869226,
"DNK","HOUSECOST","RENT","IDX2015","Q","2021-Q2",107.306090089868,
"DNK","HOUSECOST","RENT","IDX2015","Q","2021-Q3",107.609684070056,
"DNK","HOUSECOST","RENT","IDX2015","Q","2021-Q4",108.012287763428,
"DNK","HOUSECOST","RENT","IDX2015","Q","2022-Q1",108.625757985039,
"DNK","HOUSECOST","RENT","IDX2015","Q","2022-Q2",109.356224868505,
"DNK","HOUSECOST","RENT","IDX2015","Q","2022-Q3",110.005950193392,
"DNK","HOUSECOST","RENT","IDX2015","Q","2022-Q4",110.542226427789,
"FIN","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q4",107.48853835143,
"FIN","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q1",108.859537921017,
"FIN","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",110.337474098454,
"FIN","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",110.905913192048,
"FIN","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",111.687074790792,
"FIN","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",112.522603625225,
"FIN","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",112.795606616152,
"FIN","HOUSECOST","RENT","IDX2015","Q","2020-Q4",110.38482526743,
"FIN","HOUSECOST","RENT","IDX2015","Q","2021-Q1",110.587413585616,
"FIN","HOUSECOST","RENT","IDX2015","Q","2021-Q2",110.812862888657,
"FIN","HOUSECOST","RENT","IDX2015","Q","2021-Q3",111.065708286667,
"FIN","HOUSECOST","RENT","IDX2015","Q","2021-Q4",111.199631794809,
"FIN","HOUSECOST","RENT","IDX2015","Q","2022-Q1",111.477590871271,
"FIN","HOUSECOST","RENT","IDX2015","Q","2022-Q2",111.849930039493,
"FIN","HOUSECOST","RENT","IDX2015","Q","2022-Q3",112.162349285598,
"FIN","HOUSECOST","RENT","IDX2015","Q","2022-Q4",112.489228959007,
"FRA","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q4",119.6,
"FRA","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q1",121.3,
"FRA","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",123.5,
"FRA","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",125.8,
"FRA","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",128,
"FRA","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",130.2,
"FRA","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",131.9,
"FRA","HOUSECOST","RENT","IDX2015","Q","2020-Q4",101.266869855739,
"FRA","HOUSECOST","RENT","IDX2015","Q","2021-Q1",101.625270317958,
"FRA","HOUSECOST","RENT","IDX2015","Q","2021-Q2",101.880495467783,
"FRA","HOUSECOST","RENT","IDX2015","Q","2021-Q3",102.061754961695,
"FRA","HOUSECOST","RENT","IDX2015","Q","2021-Q4",102.095903625329,
"FRA","HOUSECOST","RENT","IDX2015","Q","2022-Q1",102.145910729568,
"FRA","HOUSECOST","RENT","IDX2015","Q","2022-Q2",102.421232667578,
"FRA","HOUSECOST","RENT","IDX2015","Q","2022-Q3",102.716689144506,
"FRA","HOUSECOST","RENT","IDX2015","Q","2022-Q4",103.032880723251,
"DEU","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q4",143.458646842313,
"DEU","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q1",147.355567770608,
"DEU","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",152.404113117292,
"DEU","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",157.701034872317,
"DEU","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",161.496831608128,
"DEU","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",164.404919929,
"DEU","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",168.001558638894,
"DEU","HOUSECOST","RENT","IDX2015","Q","2020-Q4",107.589770313788,
"DEU","HOUSECOST","RENT","IDX2015","Q","2021-Q1",107.942646694118,
"DEU","HOUSECOST","RENT","IDX2015","Q","2021-Q2",108.334316018255,
"DEU","HOUSECOST","RENT","IDX2015","Q","2021-Q3",108.731053705277,
"DEU","HOUSECOST","RENT","IDX2015","Q","2021-Q4",109.12538358235,
"DEU","HOUSECOST","RENT","IDX2015","Q","2022-Q1",109.57682395793,
"DEU","HOUSECOST","RENT","IDX2015","Q","2022-Q2",110.100136567449,
"DEU","HOUSECOST","RENT","IDX2015","Q","2022-Q3",110.695598048061,
"DEU","HOUSECOST","RENT","IDX2015","Q","2022-Q4",111.027474860687,
"GRC","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q4",111.41501321511,
"GRC","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q1",114.250393796671,
"GRC","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",117.034860466337,
"GRC","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",120.213708511915,
"GRC","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",122.30603723134,
"GRC","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",124.803215231873,
"GRC","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",128.056287924036,
"GRC","HOUSECOST","RENT","IDX2015","Q","2020-Q4",92.1807976355347,
"GRC","HOUSECOST","RENT","IDX2015","Q","2021-Q1",92.1507208199471,
"GRC","HOUSECOST","RENT","IDX2015","Q","2021-Q2",92.1991270535457,
"GRC","HOUSECOST","RENT","IDX2015","Q","2021-Q3",92.2847087116837,
"GRC","HOUSECOST","RENT","IDX2015","Q","2021-Q4",92.457325732932,
"GRC","HOUSECOST","RENT","IDX2015","Q","2022-Q1",92.792444583193,
"GRC","HOUSECOST","RENT","IDX2015","Q","2022-Q2",93.0089949217111,
"GRC","HOUSECOST","RENT","IDX2015","Q","2022-Q3",93.1502863366682,
"GRC","HOUSECOST","RENT","IDX2015","Q","2022-Q4",93.8242928447615,
"HUN","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q4",182.422642517792,
"HUN","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q1",193.251199835802,
"HUN","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",202.7208763745,
"HUN","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",212.201322732439,
"HUN","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",223.976601090582,
"HUN","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",234.974738157304,
"HUN","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",248.789257241199,
"HUN","HOUSECOST","RENT","IDX2015","Q","2020-Q4",129.342207689192,
"HUN","HOUSECOST","RENT","IDX2015","Q","2021-Q1",129.643205968881,
"HUN","HOUSECOST","RENT","IDX2015","Q","2021-Q2",131.04320227816,
"HUN","HOUSECOST","RENT","IDX2015","Q","2021-Q3",132.97897829463,
"HUN","HOUSECOST","RENT","IDX2015","Q","2021-Q4",135.922760499513,
"HUN","HOUSECOST","RENT","IDX2015","Q","2022-Q1",138.607292119259,
"HUN","HOUSECOST","RENT","IDX2015","Q","2022-Q2",142.988219294039,
"HUN","HOUSECOST","RENT","IDX2015","Q","2022-Q3",148.922009070807,
"HUN","HOUSECOST","RENT","IDX2015","Q","2022-Q4",153.077186982959,
"ISL","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q4",162.429954130567,
"ISL","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q1",167.225127758973,
"ISL","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",174.526628504151,
"ISL","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",180.666278834105,
"ISL","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",187.833740517261,
"ISL","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",197.337853465925,
"ISL","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",210.557681233951,
"ISL","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q3",224.155923413563,
"ISL","HOUSECOST","RENT","IDX2015","Q","2020-Q4",126.533935991187,
"ISL","HOUSECOST","RENT","IDX2015","Q","2021-Q1",127.251588079697,
"ISL","HOUSECOST","RENT","IDX2015","Q","2021-Q2",128.004206092533,
"ISL","HOUSECOST","RENT","IDX2015","Q","2021-Q3",128.710930011647,
"ISL","HOUSECOST","RENT","IDX2015","Q","2021-Q4",129.966275816122,
"ISL","HOUSECOST","RENT","IDX2015","Q","2022-Q1",131.65188865091,
"ISL","HOUSECOST","RENT","IDX2015","Q","2022-Q2",133.255001439127,
"ISL","HOUSECOST","RENT","IDX2015","Q","2022-Q3",135.503775913207,
"ISL","HOUSECOST","RENT","IDX2015","Q","2022-Q4",137.477300213507,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q4",135.646545917644,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q1",138.762774142689,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",142.392621816512,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",148.429004742598,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",154.413599301684,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",159.412759067993,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",162.767412661586,
"IRL","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q3",166.177527541771,
"IRL","HOUSECOST","RENT","IDX2015","Q","2020-Q4",116.671819301318,
"IRL","HOUSECOST","RENT","IDX2015","Q","2021-Q1",117.867238344675,
"IRL","HOUSECOST","RENT","IDX2015","Q","2021-Q2",119.334231488087,
"IRL","HOUSECOST","RENT","IDX2015","Q","2021-Q3",121.032317824685,
"IRL","HOUSECOST","RENT","IDX2015","Q","2021-Q4",123.918472611586,
"IRL","HOUSECOST","RENT","IDX2015","Q","2022-Q1",126.221913023183,
"IRL","HOUSECOST","RENT","IDX2015","Q","2022-Q2",129.436080903519,
"IRL","HOUSECOST","RENT","IDX2015","Q","2022-Q3",133.009795828784,
"IRL","HOUSECOST","RENT","IDX2015","Q","2022-Q4",136.98084148602,
"ITA","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q4",100.53620193168,
"ITA","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q1",101.465032263446,
"ITA","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",102.064738341851,
"ITA","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",103.655101339991,
"ITA","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",104.615128058007,
"ITA","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",106.059660465201,
"ITA","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",107.316448164707,
"ITA","HOUSECOST","RENT","IDX2015","Q","2020-Q4",101.387719542845,
"ITA","HOUSECOST","RENT","IDX2015","Q","2021-Q1",101.338584516068,
"ITA","HOUSECOST","RENT","IDX2015","Q","2021-Q2",101.368136585779,
"ITA","HOUSECOST","RENT","IDX2015","Q","2021-Q3",101.472126116982,
"ITA","HOUSECOST","RENT","IDX2015","Q","2021-Q4",101.588944962669,
"ITA","HOUSECOST","RENT","IDX2015","Q","2022-Q1",101.906450743431,
"ITA","HOUSECOST","RENT","IDX2015","Q","2022-Q2",102.334266410537,
"ITA","HOUSECOST","RENT","IDX2015","Q","2022-Q3",102.6692832904,
"ITA","HOUSECOST","RENT","IDX2015","Q","2022-Q4",103.090755745452,
"JPN","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q4",110.279612839155,
"JPN","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q1",111.525524659559,
"JPN","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",113.764212442359,
"JPN","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",117.317069758271,
"JPN","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",117.831042041909,
"JPN","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",121.664765519067,
"JPN","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",124.655887748447,
"JPN","HOUSECOST","RENT","IDX2015","Q","2020-Q4",99.2763028982608,
"JPN","HOUSECOST","RENT","IDX2015","Q","2021-Q1",99.2610730876525,
"JPN","HOUSECOST","RENT","IDX2015","Q","2021-Q2",99.2750491681518,
"JPN","HOUSECOST","RENT","IDX2015","Q","2021-Q3",99.2852497815101,
"KOR","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q4",109.81041588861,
"KOR","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q1",112.512131760437,
"KOR","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",115.67516468654,
"KOR","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",118.656388936972,
"KOR","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",120.715571565712,
"KOR","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",120.917780098487,
"KOR","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",121.275358346325,
"KOR","HOUSECOST","RENT","IDX2015","Q","2020-Q4",104.574176587778,
"KOR","HOUSECOST","RENT","IDX2015","Q","2021-Q1",104.915473006182,
"KOR","HOUSECOST","RENT","IDX2015","Q","2021-Q2",105.426806745049,
"KOR","HOUSECOST","RENT","IDX2015","Q","2021-Q3",105.930226583807,
"KOR","HOUSECOST","RENT","IDX2015","Q","2021-Q4",106.556783094229,
"KOR","HOUSECOST","RENT","IDX2015","Q","2022-Q1",107.081131920067,
"KOR","HOUSECOST","RENT","IDX2015","Q","2022-Q2",107.500764504942,
"KOR","HOUSECOST","RENT","IDX2015","Q","2022-Q3",107.886363595406,
"KOR","HOUSECOST","RENT","IDX2015","Q","2022-Q4",108.09772921538,
"LUX","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q4",160.223284393993,
"LUX","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q1",166.900297057856,
"LUX","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",168.419022581924,
"LUX","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",173.64590333737,
"LUX","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",179.639498548751,
"LUX","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",183.964737277733,
"LUX","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",187.872503337781,
"LUX","HOUSECOST","RENT","IDX2015","Q","2020-Q4",106.218678838791,
"LUX","HOUSECOST","RENT","IDX2015","Q","2021-Q1",106.568639186389,
"LUX","HOUSECOST","RENT","IDX2015","Q","2021-Q2",107.149368042943,
"LUX","HOUSECOST","RENT","IDX2015","Q","2021-Q3",107.59225827651,
"LUX","HOUSECOST","RENT","IDX2015","Q","2021-Q4",107.916118261875,
"LUX","HOUSECOST","RENT","IDX2015","Q","2022-Q1",108.452654312926,
"LUX","HOUSECOST","RENT","IDX2015","Q","2022-Q2",108.805317578787,
"LUX","HOUSECOST","RENT","IDX2015","Q","2022-Q3",109.415240788481,
"LUX","HOUSECOST","RENT","IDX2015","Q","2022-Q4",109.933075446243,
"MEX","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q4",147.936532648,
"MEX","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q1",151.303052244214,
"MEX","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",154.649885733984,
"MEX","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",157.829316465868,
"MEX","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",160.511184832349,
"MEX","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",162.987100039989,
"MEX","HOUSECOST","RENT","IDX2015","Q","2020-Q4",113.862680622841,
"MEX","HOUSECOST","RENT","IDX2015","Q","2021-Q1",114.410191237597,
"MEX","HOUSECOST","RENT","IDX2015","Q","2021-Q2",115.006230673597,
"MEX","HOUSECOST","RENT","IDX2015","Q","2021-Q3",115.808919056041,
"MEX","HOUSECOST","RENT","IDX2015","Q","2021-Q4",116.725001288972,
"MEX","HOUSECOST","RENT","IDX2015","Q","2022-Q1",117.517626289567,
"MEX","HOUSECOST","RENT","IDX2015","Q","2022-Q2",118.240090899498,
"MEX","HOUSECOST","RENT","IDX2015","Q","2022-Q3",119.294804147372,
"MEX","HOUSECOST","RENT","IDX2015","Q","2022-Q4",119.951819287324,
"NLD","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q4",147.756731084004,
"NLD","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q1",153.374356090424,
"NLD","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",159.815962247672,
"NLD","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",168.122324985256,
"NLD","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",175.651356678302,
"NLD","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",183.117253674792,
"NLD","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",188.839512869162,
"NLD","HOUSECOST","RENT","IDX2015","Q","2020-Q4",112.83481000511,
"NLD","HOUSECOST","RENT","IDX2015","Q","2021-Q1",113.41866105293,
"NLD","HOUSECOST","RENT","IDX2015","Q","2021-Q2",114.226057610498,
"NLD","HOUSECOST","RENT","IDX2015","Q","2021-Q3",112.91588355429,
"NLD","HOUSECOST","RENT","IDX2015","Q","2021-Q4",113.699397782282,
"NLD","HOUSECOST","RENT","IDX2015","Q","2022-Q1",114.260862620047,
"NLD","HOUSECOST","RENT","IDX2015","Q","2022-Q2",115.097694965178,
"NLD","HOUSECOST","RENT","IDX2015","Q","2022-Q3",116.257173477282,
"NLD","HOUSECOST","RENT","IDX2015","Q","2022-Q4",117.084268942019,
"NZL","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q4",154.401346688965,
"NZL","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q1",167.38796083776,
"NZL","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",176.843751229932,
"NZL","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",185.330670169907,
"NZL","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",194.361807953211,
"NZL","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",189.727816380392,
"NZL","HOUSECOST","RENT","IDX2015","Q","2020-Q4",114.488625641586,
"NZL","HOUSECOST","RENT","IDX2015","Q","2021-Q1",115.448637349267,
"NZL","HOUSECOST","RENT","IDX2015","Q","2021-Q2",116.400514941824,
"NZL","HOUSECOST","RENT","IDX2015","Q","2021-Q3",117.460557583857,
"NZL","HOUSECOST","RENT","IDX2015","Q","2021-Q4",118.865595464843,
"NZL","HOUSECOST","RENT","IDX2015","Q","2022-Q1",120.019725149659,
"NZL","HOUSECOST","RENT","IDX2015","Q","2022-Q2",121.395455098412,
"NZL","HOUSECOST","RENT","IDX2015","Q","2022-Q3",122.892027849924,
"NOR","HOUSECOST","NOMINAL","IDX2015","Q","2020-Q4",126.89286895515,
"NOR","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q1",130.91407160495,
"NOR","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q2",134.113040040196,
"NOR","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q3",135.909695043846,
"NOR","HOUSECOST","NOMINAL","IDX2015","Q","2021-Q4",137.163193355001,
"NOR","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q1",140.287137887683,
"NOR","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q2",142.562555552091,
"NOR","HOUSECOST","NOMINAL","IDX2015","Q","2022-Q3",142.579094993183,
"NOR","HOUSECOST","RENT","IDX2015","Q","2020-Q4",110.041115454245,
"NOR","HOUSECOST","RENT","IDX2015","Q","2021-Q1",110.159712203261,
"NOR","HOUSECOST","RENT","IDX2015","Q","2021-Q2",110.586957063694,
"NOR","HOUSECOST","RENT","IDX2015","Q","2021-Q3",111.024897299726,
"NOR","HOUSECOST","RENT","IDX2015","Q","2021-Q4",111.532049285243,
"NOR","HOUSECOST","RENT","IDX2015","Q","2022-Q1",112.159213423857,
"NOR","HOUSECOST","RENT","IDX2015","Q","2022-Q2",112.696665460864,
"NOR","HOUSECOST","RENT","IDX2015","Q","2022-Q3",113.614945845811,
